number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0330,feb796c9-b873-4ebe-b0a4-1cc0bbea8c24,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0331,4cb962df-5ebd-40d1-a9d5-5679ab1d4d47,America/New_York,11:30,17:30,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0332,f40ad91c-63ee-414b-9123-d43a19fe510e,America/New_York,10:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0333,ffa5557b-2e38-45f8-8af9-4facb63c65eb,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:30,10:00,21:30
0334,27140dcc-b034-41e9-9eef-c298e0de2530,America/Chicago,12:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
0338,29921ea8-6e5b-4b0d-b9cf-fd366d28310d,America/Chicago,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0339,1dd3bfab-1016-4901-b28d-c633dd4f5557,America/New_York,11:00,18:00,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30
0342,42b62509-a0f6-4a1e-9220-23098d470e32,America/Indiana/Indianapolis,12:00,17:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0343,e49c8b38-9749-45ed-b75e-fff38604669d,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0344,2ec856ec-16a0-4f19-9df7-136dd1d7e1e6,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
