id,service_id,store_id,appointments_enabled,associate_required,store_service_image,allow_anonymous,private,hidden_from_reporting,created_at,updated_at,nextgen_uri,set_custom_capacity,override_store_capacity,total_capacity,capacity_type,online_capacity_pct,online_capacity,waitlist,required_lead_time,book_with,auto_confirm_appt_requests,allow_associate_selection,store_capacity,organization_nextgen_id,custom_email_copy
13235,886,29016,true,false,,,false,false,2018-05-02T19:12:00.277Z,2018-06-11T18:33:11.139Z,/locations/65ca777b-5c64-4439-ae78-146a171a686f/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13198,886,28946,true,false,,,false,false,2018-05-02T19:11:51.737Z,2018-06-11T18:28:01.499Z,/locations/9dd41b94-6341-4ef6-9e0e-b70b14861018/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13251,886,29031,true,false,,,false,false,2018-05-02T19:12:04.272Z,2018-06-11T18:35:22.849Z,/locations/8e75533e-44f5-4633-abc9-70af19db2c96/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13113,886,28840,true,false,,,false,false,2018-05-02T19:11:32.647Z,2018-06-11T18:14:02.585Z,/locations/91b42bee-a901-4cc1-8b0d-995fb09ac718/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13263,886,29043,true,false,,,false,false,2018-05-02T19:12:07.100Z,2018-06-11T18:34:25.030Z,/locations/ca47a3f1-44a6-4565-a0a3-da2aeee69583/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13163,886,28911,true,false,,,false,false,2018-05-02T19:11:43.985Z,2018-06-11T18:22:55.640Z,/locations/db958ea6-aedf-4408-a318-7fcb05dc3ff2/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13221,886,29002,true,false,,,false,false,2018-05-02T19:11:57.055Z,2018-06-11T18:31:44.050Z,/locations/491047b6-ff4f-40c9-bfdf-edef7aedd0a3/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13240,886,29021,true,false,,,false,false,2018-05-02T19:12:01.520Z,2018-06-11T18:33:41.901Z,/locations/94fb608a-24e3-4dff-b3b2-702aaee1f104/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13188,886,28936,true,false,,,false,false,2018-05-02T19:11:49.544Z,2018-06-11T18:26:57.992Z,/locations/963e34d5-5e4f-4641-b3c5-3a03f0e2f0ca/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13059,886,28793,true,false,,,false,false,2018-05-01T18:52:31.145Z,2018-06-08T21:10:07.135Z,/locations/cc109caf-2958-4d74-b7e3-a12ce11e93a0/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,false,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13121,886,28848,true,false,,,false,false,2018-05-02T19:11:34.562Z,2018-06-11T18:16:52.993Z,/locations/ed86d5b9-1641-4c9a-a8f8-2c8064dfa774/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13255,886,29035,true,false,,,false,false,2018-05-02T19:12:05.139Z,2018-06-11T18:35:00.501Z,/locations/aea6544d-e7d3-4bfc-a2b4-2a0715b6332c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13159,886,28907,true,false,,,false,false,2018-05-02T19:11:43.018Z,2018-06-11T18:23:28.521Z,/locations/a392bdd8-c31b-49c5-89c9-f21f89a5aea7/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13238,886,29019,true,false,,,false,false,2018-05-02T19:12:00.979Z,2018-06-11T18:33:27.543Z,/locations/4785000c-27f2-435e-9776-cbd8eed92d3c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13172,886,28920,true,false,,,false,false,2018-05-02T19:11:45.978Z,2018-06-11T18:21:47.509Z,/locations/bf971c89-5f31-4b06-a8c1-cc9d28b62d76/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13179,886,28927,true,false,,,false,false,2018-05-02T19:11:47.484Z,2018-06-11T18:26:04.098Z,/locations/4e0c5603-09d6-4581-8c6e-9f03751f7d20/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13199,886,28947,true,false,,,false,false,2018-05-02T19:11:51.962Z,2018-06-11T18:28:09.451Z,/locations/77af86eb-9307-45db-af08-a54543f68076/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13212,886,28960,true,false,,,false,false,2018-05-02T19:11:54.996Z,2018-06-11T18:30:26.351Z,/locations/edb164bf-42a4-4fb9-af5e-120505fdd2d5/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13181,886,28929,true,false,,,false,false,2018-05-02T19:11:47.940Z,2018-06-11T18:26:16.463Z,/locations/92333e9b-b45a-48db-be2f-b35c3340419a/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13229,886,29010,true,false,,,false,false,2018-05-02T19:11:58.888Z,2018-06-11T18:32:39.370Z,/locations/c582d215-f4ff-4e7d-8ba8-29b58d8d197c/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,10,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13175,886,28923,true,false,,,false,false,2018-05-02T19:11:46.633Z,2018-06-11T18:21:28.952Z,/locations/05a14ce3-bb04-4832-8d94-5d6097f0805e/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13232,886,29013,true,false,,,false,false,2018-05-02T19:11:59.639Z,2018-06-11T18:32:55.694Z,/locations/9aabb0c5-eb1a-4bac-b896-ab3d9c92b26e/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13227,886,29008,true,false,,,false,false,2018-05-02T19:11:58.449Z,2018-06-11T18:32:27.690Z,/locations/c596edb3-f28a-4bd9-b113-339b7d1f5e72/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13090,886,28817,true,false,,,false,false,2018-05-02T19:11:27.109Z,2018-06-11T18:11:08.470Z,/locations/bfb186dc-2b0d-4e44-92c1-bfbfc084334a/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13095,886,28822,true,false,,,false,false,2018-05-02T19:11:28.221Z,2018-06-11T18:11:47.919Z,/locations/5476f3ef-97f3-4603-9dec-1c1f54682f73/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13115,886,28842,true,false,,,false,false,2018-05-02T19:11:33.071Z,2018-06-11T18:14:19.496Z,/locations/29cd7432-559e-4ac3-ac0c-9f765aa6b3f0/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13187,886,28935,true,false,,,false,false,2018-05-02T19:11:49.308Z,2018-06-11T18:26:53.054Z,/locations/00e793d2-a73f-4ee4-b46b-03cbb31d2672/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,1440,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
13075,886,28802,false,false,,,false,false,2018-05-02T19:11:23.505Z,2018-10-19T19:33:31.885Z,/locations/b4a8093a-6c9b-4cbe-9dbd-00ba730aa93f/services/6fab1a09-0bfb-45a7-94e1-aa7eb12e50de,true,,1,fixed,1,,,60,Store,true,,[object Object],bc27aaa9-c132-4218-a4cc-87b74a718022,
